ID;Gown;Weight;Reusable;Woven;Type;Longevity;Price;Comfort;Hygiene;Local FTE;Local FTE-Extra;Production-Total-Cost;Production-Total-CO2;Production-Total-Energy;Production-Total-Water;Production-Total-Recipe;Production-Raw-Cost;Production-Raw-CO2;Production-Raw-Energy;Production-Raw-Water;Production-Raw-Recipe;Production-Advanced-Cost;Production-Advanced-CO2;Production-Advanced-Energy;Production-Advanced-Water;Production-Advanced-Recipe;Production-Transport-Cost;Production-Transport-CO2;Production-Transport-Energy;Production-Transport-Water;Production-Transport-Recipe;Use-Total-Cost;Use-Total-CO2;Use-Total-Energy;Use-Total-Water;Use-Total-Recipe;LOST-Total-Cost;LOST-Total-CO2;LOST-Total-Energy;LOST-Total-Water;LOST-Total-Recipe;EOL-Total-Cost;EOL-Total-CO2;EOL-Total-Energy;EOL-Total-Water;EOL-Total-Recipe
GW001;Lyocell;300;TRUE;TRUE;Regular;70;1.78;4;5;0.00001;0.00001;1.78;3.248504084;52.35477153;0.000163122;0.0643051;0;2.566405489;41.10339;0.000126292;0.050061492;0;0.454096701;7.66113513;2.33029E-05;0.009020692;0;0.228001895;3.5902464;1.35272E-05;0.005222916;0.5;0.00408;0.0558;2.82;0;0;-0.364185158;-5.1431097;-1.66158E-05;-0.006674007;0;-0.200301841;-2.82871026;-8.55121E-06;-0.003477224
GW002;Org Cotton;300;TRUE;TRUE;Bio;70;1.78;5;3;0.00001;0.00001;1.78;2.719586856;45.19691253;0.000513405;0.071210622;0;0.086713437;1.43921976;0.000195429;0.010203767;0;2.404871524;40.16744637;0.000304449;0.055783939;0;0.228001895;3.5902464;1.35272E-05;0.005222916;0.5;0.00414;0.0558;4.32;0;0;-0.366629368;-5.1776271;-1.66245E-05;-0.006684937;0;-0.20164615;-2.84769489;-8.50578E-06;-0.003466698
GW003;Cotton GOTS;300;TRUE;TRUE;Regular;70;1.78;5;4;0.00001;0.00001;1.78;3.130995117;51.20502534;0.000517457;0.080927834;0;0.301920113;4.5840918;0.0001883;0.015334819;0;2.60107311;43.03068714;0.00031563;0.060370099;0;0.228001895;3.5902464;1.35272E-05;0.005222916;0.5;0.00414;0.0558;4.32;0;0;-0.366629368;-5.1776271;-1.66245E-05;-0.006684937;0;-0.20164615;-2.84769489;-8.50578E-06;-0.003466698
GW004;R-Cotton;300;TRUE;TRUE;Recycled;70;1.78;5;3;0.00001;0.00001;1.78;3.064757878;50.24724654;0.0005233;0.079811653;0;0.199753859;3.0345975;0.000201918;0.012913807;0;2.637002125;43.62240264;0.000307856;0.06167493;0;0.228001895;3.5902464;1.35272E-05;0.005222916;0.5;0.00414;0.0558;4.32;0;0;-0.366629368;-5.1776271;-1.66245E-05;-0.006684937;0;-0.20164615;-2.84769489;-8.50578E-06;-0.003466698
GW005;Polyester;300;TRUE;TRUE;Regular;70;1.78;4;4;0.00001;0.00001;1.78;5.038409626;91.31739033;0.000278946;0.109802936;0;0.657;22.20021;5.09031E-05;0.018516365;0;4.153407731;65.52693393;0.000214516;0.086063655;0;0.228001895;3.5902464;1.35272E-05;0.005222916;0.5;0.0039;0.0522;2.82;0;0;-0.018053416;-8.0080632;-1.09901E-05;-0.001618365;0;0.236876211;-4.4078865;1.55493E-06;0.00335441
GW006;r-Polyester;300;TRUE;TRUE;Recycled;70;1.78;4;4;0.00001;0.00001;1.78;4.76040143;74.08109523;0.000251029;0.102696044;0;0.378991805;4.9639149;2.29858E-05;0.011409473;0;4.153407731;65.52693393;0.000214516;0.086063655;0;0.228001895;3.5902464;1.35272E-05;0.005222916;0.5;0.0039;0.0522;2.82;0;0;0.119457744;-8.0149668;-6.67532E-06;0.000774386;0;0.374876211;-4.4078865;5.89372E-06;0.005756696
GW007;PP-disposable;40;FALSE;FALSE;Regular;1;0.81;1;3;0;0;0.81;0.160800253;7.05909952;1.83691E-05;0.005116059;0;0.0652;3.2902;8.28276E-06;0.002209835;0;0.0652;3.2902;8.28276E-06;0.002209835;0;0.030400253;0.47869952;1.80362E-06;0.000696389;0;0;0;0;0;0;-0.013523623;-1.96473688;-2.95137E-06;-0.000545191;0;0.049080379;-1.08062832;1.29346E-07;0.000675992
GW008;PET-Elastane (82-18);230;TRUE;TRUE;Regular;70;1.78;3;3;0.00001;0.00001;1.78;3.643100166;59.87820518;0.00018794;0.074724758;0;0.456395516;6.804491999;2.76623E-05;0.011852305;0;3.011903197;50.32119094;0.000160277;0.062872452;0;0.174801453;2.75252224;1.03708E-05;0.004004235;0.5;0.004457743;0.075530479;1.4619375;0;0;0.089848085;-6.460357799;-5.71267E-06;0.000469389;0;0.295739158;-3.552715113;4.41915E-06;0.004485595
GW009;PET-PE (65-35);65;TRUE;FALSE;Regular;70;1.78;3;3;0.00001;0.00001;1.78;0.916827311;16.64855013;4.90338E-05;0.019124967;0;0.094324679;2.625713932;7.31973E-06;0.002777956;0;0.773102222;13.24494948;4.1714E-05;0.016347011;0;0.049400411;0.77788672;2.93088E-06;0.001131632;0.5;0.001259797;0.02134557;0.41315625;0;0;0.005591858;-2.296214333;-2.78276E-06;-0.000266731;0;-0.03355661;-3.402426703;-5.57762E-06;-0.001047011
GW010;PET-Elastane (65-35);145;TRUE;TRUE;Regular;70;1.78;3;3;0.00001;0.00001;1.78;2.252077822;38.88911579;0.000119501;0.046321414;0;0.350167298;5.60494824;2.15157E-05;0.008687284;0;1.791709608;31.54888179;9.79857E-05;0.03763413;0;0.110200916;1.73528576;6.53812E-06;0.002524409;0.5;0.002810316;0.047617041;0.92165625;0;0;0.05469447;-4.239602188;-3.9535E-06;0.000210561;0;-0.059155411;-7.255611876;-1.15565E-05;-0.002034978
GW011;PET-Cotton (65-35);160;TRUE;TRUE;Regular;70;1.78;3;3;0.00001;0.00001;1.78;2.28235264;36.05249595;0.000179285;0.048839323;0;0.230153969;3.126083176;4.53392E-05;0.007558051;0;1.930597661;31.0116147;0.000133946;0.041281272;0;0.121601011;1.91479808;7.21448E-06;0.002785555;0.5;0.003101039;0.052542942;1.017;0;0;-0.025956249;-3.769680732;-5.41992E-06;-0.000966147;0;-0.130005067;-6.488327663;-1.25537E-05;-0.003155628
GW012;PET-Elastane (65-35);190;TRUE;TRUE;Regular;70;1.78;3;3;0.00001;0.00001;1.78;3.047596401;52.50434434;0.000162523;0.063093518;0;0.555437783;8.890607554;3.41284E-05;0.01377983;0;2.347757418;41.33991407;0.000128395;0.049313688;0;0.1444012;2.27382272;8.5672E-06;0.003307847;0.5;0.003682483;0.062394744;1.2076875;0;0;0.071668616;-5.555340798;-5.18045E-06;0.000275907;0;-0.077513987;-9.507353492;-1.5143E-05;-0.002666523
